source,target,similarity
29.txt,130.txt,0.766992046042737
21.txt,118.txt,0.766447130835312
20.txt,132.txt,0.760493935827331
19.txt,132.txt,0.750292338746776
25.txt,132.txt,0.735985142116933
26.txt,135.txt,0.718589499667959
18.txt,118.txt,0.716312632606823
22.txt,117.txt,0.710778081910816
3.txt,123.txt,0.708655406001576
17.txt,118.txt,0.705183074862053
8.txt,118.txt,0.701733542371345
22.txt,118.txt,0.700456654529881
27.txt,118.txt,0.700139573185977
26.txt,127.txt,0.697650418383842
28.txt,127.txt,0.696487215565586
25.txt,114.txt,0.694492008806693
2.txt,123.txt,0.693522964634104
11.txt,120.txt,0.686479853325297
11.txt,118.txt,0.683497586611224
14.txt,118.txt,0.683240072403124
20.txt,114.txt,0.681269874238989
24.txt,132.txt,0.680070330040887
24.txt,118.txt,0.678753569855446
27.txt,127.txt,0.678397832000785
9.txt,118.txt,0.677420156119476
15.txt,120.txt,0.676308312430163
26.txt,128.txt,0.675056271563236
12.txt,120.txt,0.674609272062802
26.txt,129.txt,0.673944209236086
24.txt,154.txt,0.671014386388126
1.txt,120.txt,0.669853731394523
15.txt,134.txt,0.668985349607286
8.txt,120.txt,0.668567611291077
10.txt,118.txt,0.666164270499478
7.txt,120.txt,0.665754654200519
18.txt,114.txt,0.665463231775677
11.txt,114.txt,0.664240388203651
27.txt,126.txt,0.663932342327129
22.txt,114.txt,0.663716932271494
14.txt,120.txt,0.663285006363907
11.txt,127.txt,0.663262844792136
8.txt,127.txt,0.663075744540877
26.txt,134.txt,0.663059196824833
19.txt,121.txt,0.662128673114014
13.txt,120.txt,0.661507307905675
21.txt,114.txt,0.659997815596111
26.txt,126.txt,0.659426206073606
18.txt,120.txt,0.658551171294469
26.txt,120.txt,0.658249598298192
22.txt,135.txt,0.657938357965914
9.txt,119.txt,0.657912114205643
22.txt,138.txt,0.657864520173701
22.txt,129.txt,0.657648639093652
19.txt,118.txt,0.657079588784711
14.txt,132.txt,0.656626796900867
19.txt,115.txt,0.655052909256783
23.txt,118.txt,0.654378110144285
10.txt,120.txt,0.652360306139578
22.txt,132.txt,0.65169130810929
15.txt,132.txt,0.651271488611088
13.txt,127.txt,0.650849229292279
16.txt,120.txt,0.650557514755414
14.txt,114.txt,0.650223188847485
